iter	Passed	Remaining
811	3889	900
812	3890	894
813	3892	889
814	3896	884
815	3898	879
816	3900	873
817	3902	868
818	3904	862
819	3906	857
820	3908	852
821	3912	847
822	3914	841
823	3917	836
824	3919	831
825	3921	826
826	3923	820
827	3927	815
828	3929	810
829	3931	805
830	3933	799
831	3936	794
832	3938	789
833	3942	784
834	3944	779
835	3946	774
836	3948	768
837	3950	763
838	3953	758
839	3955	753
840	3960	748
841	3962	743
842	3965	738
843	3967	733
844	3970	728
845	3985	725
846	3991	721
847	3995	716
848	3998	711
849	4001	706
850	4008	701
851	4011	696
852	4014	691
853	4017	686
854	4022	682
855	4025	677
856	4028	672
857	4030	667
858	4032	661
859	4037	657
860	4041	652
861	4043	647
862	4045	642
863	4047	637
864	4053	632
865	4055	627
866	4057	622
867	4060	617
868	4062	612
869	4064	607
870	4066	602
871	4068	597
872	4069	592
873	4071	587
874	4073	581
875	4077	577
876	4079	572
877	4081	567
878	4083	562
879	4085	557
880	4087	552
881	4088	547
882	4105	544
883	4110	539
884	4112	534
885	4115	529
886	4117	524
887	4119	519
888	4124	514
889	4126	510
890	4129	505
891	4131	500
892	4134	495
893	4136	490
894	4144	486
895	4148	481
896	4153	476
897	4156	472
898	4158	467
899	4161	462
900	4164	457
901	4168	452
902	4171	448
903	4173	443
904	4176	438
905	4178	433
906	4180	428
907	4190	424
908	4192	419
909	4194	414
910	4196	409
911	4198	405
912	4200	400
913	4202	395
914	4204	390
915	4206	385
916	4208	380
917	4212	376
918	4214	371
919	4216	366
920	4218	361
921	4232	358
922	4234	353
923	4236	348
924	4239	343
925	4241	338
926	4245	334
927	4247	329
928	4250	324
929	4252	320
930	4254	315
931	4256	310
932	4260	305
933	4262	301
934	4264	296
935	4266	291
936	4268	286
937	4269	282
938	4271	277
939	4275	272
940	4277	268
941	4279	263
942	4281	258
943	4282	254
944	4284	249
945	4286	244
946	4289	240
947	4291	235
948	4293	230
949	4295	226
950	4297	221
951	4302	216
952	4308	212
953	4310	207
954	4312	203
955	4314	198
956	4317	193
957	4322	189
958	4324	184
959	4326	180
960	4329	175
961	4331	171
962	4348	167
963	4353	162
964	4356	158
965	4359	153
966	4361	148
967	4364	144
968	4369	139
969	4371	135
970	4374	130
971	4400	126
972	4403	122
973	4405	117
974	4408	113
975	4410	108
976	4413	103
977	4417	99
978	4422	94
979	4428	90
980	4431	85
981	4433	81
982	4435	76
983	4441	72
984	4443	67
985	4445	63
986	4447	58
987	4450	54
988	4456	49
989	4460	45
990	4464	40
991	4470	36
992	4473	31
993	4476	27
994	4480	22
995	4485	18
996	4510	13
997	4512	9
998	4516	4
999	4519	0
